Partida: 2020-03-08 12:22:46.710048
AI: Blanco
Jugador: Negro
***********************
1. BP  h:2 -> h:4
2. NP  g:7 -> g:5
3. BP  h:4 -> g:5
4. NP  h:7 -> h:6
5. BP  g:2 -> g:3
6. NP  h:6 -> g:5
7. BP  f:2 -> f:4
8. NP  g:5 -> f:4
9. BP  g:3 -> f:4
10. NP  f:7 -> f:5
11. BP  d:2 -> d:4
12. NP  e:7 -> e:5
13. BP  f:4 -> e:5
14. NP  f:5 -> f:4
15. BD  e:1 -> g:3
16. NP  f:4 -> g:3
